javaFile,javaMember,plsqlFile,plsqlStartLine,plsqlEndLine,kind,verdict,generated
com/example/migrated/application/AnnualCompService.java,annualComp,annual_comp.fnc,2,10,routine,REVIEW,not-generated
com/example/migrated/application/AnnualCompService.java,annualComp @ annual_comp.fnc:9,annual_comp.fnc,9,9,Return,REVIEW,not-generated
com/example/migrated/application/B041VariablesService.java,b041Variables,b04_1_variables.prc,2,18,routine,REVIEW,not-generated
com/example/migrated/application/B041VariablesService.java,b041Variables @ b04_1_variables.prc:10,b04_1_variables.prc,10,10,SqlOperation,REVIEW,not-generated
com/example/migrated/application/B041VariablesService.java,b041Variables @ b04_1_variables.prc:11,b04_1_variables.prc,11,11,SqlOperation,REVIEW,not-generated
com/example/migrated/application/B041VariablesService.java,b041Variables @ b04_1_variables.prc:13,b04_1_variables.prc,13,13,Call,REVIEW,not-generated
com/example/migrated/application/B041VariablesService.java,b041Variables @ b04_1_variables.prc:14,b04_1_variables.prc,14,14,Call,REVIEW,not-generated
com/example/migrated/application/B041VariablesService.java,b041Variables @ b04_1_variables.prc:15,b04_1_variables.prc,15,17,If,REVIEW,not-generated
com/example/migrated/application/B041VariablesService.java,b041Variables @ b04_1_variables.prc:16,b04_1_variables.prc,16,16,Call,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow,b04_2_control_flow.prc,2,51,routine,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:7,b04_2_control_flow.prc,7,7,SqlOperation,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:10,b04_2_control_flow.prc,10,16,If,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:11,b04_2_control_flow.prc,11,11,Assignment,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:13,b04_2_control_flow.prc,13,13,Assignment,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:15,b04_2_control_flow.prc,15,15,Assignment,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:19,b04_2_control_flow.prc,19,23,Case,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:20,b04_2_control_flow.prc,20,20,Call,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:21,b04_2_control_flow.prc,21,21,Call,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:22,b04_2_control_flow.prc,22,22,Call,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:26,b04_2_control_flow.prc,26,30,Loop,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:27,b04_2_control_flow.prc,27,27,Assignment,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:28,b04_2_control_flow.prc,28,28,Exit,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:29,b04_2_control_flow.prc,29,29,Call,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:33,b04_2_control_flow.prc,33,35,Loop,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:34,b04_2_control_flow.prc,34,34,Assignment,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:38,b04_2_control_flow.prc,38,41,Loop,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:39,b04_2_control_flow.prc,39,39,Continue,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:40,b04_2_control_flow.prc,40,40,Call,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:44,b04_2_control_flow.prc,44,50,Loop,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:46,b04_2_control_flow.prc,46,49,Loop,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:47,b04_2_control_flow.prc,47,47,Exit,REVIEW,not-generated
com/example/migrated/application/B042ControlFlowService.java,b042ControlFlow @ b04_2_control_flow.prc:48,b04_2_control_flow.prc,48,48,Call,REVIEW,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs,b04_3_implicit_cursor_attrs.prc,2,12,routine,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:4,b04_3_implicit_cursor_attrs.prc,4,4,Loop,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:4,b04_3_implicit_cursor_attrs.prc,4,4,SqlOperation,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:4,b04_3_implicit_cursor_attrs.prc,4,4,SqlOperation,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:4,b04_3_implicit_cursor_attrs.prc,4,4,SqlOperation,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:4,b04_3_implicit_cursor_attrs.prc,4,4,SqlOperation,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:4,b04_3_implicit_cursor_attrs.prc,4,4,If,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:4,b04_3_implicit_cursor_attrs.prc,4,4,Call,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:4,b04_3_implicit_cursor_attrs.prc,4,4,If,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:4,b04_3_implicit_cursor_attrs.prc,4,4,Call,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:5,b04_3_implicit_cursor_attrs.prc,5,5,Call,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:7,b04_3_implicit_cursor_attrs.prc,7,7,SqlOperation,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:7,b04_3_implicit_cursor_attrs.prc,7,7,SqlOperation,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:7,b04_3_implicit_cursor_attrs.prc,7,7,If,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:7,b04_3_implicit_cursor_attrs.prc,7,7,Call,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:8,b04_3_implicit_cursor_attrs.prc,8,10,If,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:9,b04_3_implicit_cursor_attrs.prc,9,9,Call,REDESIGN,not-generated
com/example/migrated/application/B043ImplicitCursorAttrsService.java,b043ImplicitCursorAttrs @ b04_3_implicit_cursor_attrs.prc:11,b04_3_implicit_cursor_attrs.prc,11,11,Rollback,REDESIGN,not-generated
com/example/migrated/application/B0441ExplicitCursorService.java,b0441ExplicitCursor,b04_4_1_explicit_cursor.prc,2,15,routine,REVIEW,not-generated
com/example/migrated/application/B0441ExplicitCursorService.java,b0441ExplicitCursor @ b04_4_1_explicit_cursor.prc:9,b04_4_1_explicit_cursor.prc,9,13,Loop,REVIEW,not-generated
com/example/migrated/application/B0441ExplicitCursorService.java,b0441ExplicitCursor @ b04_4_1_explicit_cursor.prc:9,b04_4_1_explicit_cursor.prc,9,13,SqlOperation,REVIEW,not-generated
com/example/migrated/application/B0441ExplicitCursorService.java,b0441ExplicitCursor @ b04_4_1_explicit_cursor.prc:8,b04_4_1_explicit_cursor.prc,8,8,Assignment,REVIEW,not-generated
com/example/migrated/application/B0441ExplicitCursorService.java,b0441ExplicitCursor @ b04_4_1_explicit_cursor.prc:12,b04_4_1_explicit_cursor.prc,12,12,Call,REVIEW,not-generated
com/example/migrated/application/B0442CursorForLoopService.java,b0442CursorForLoop,b04_4_2_cursor_for_loop.prc,2,15,routine,REVIEW,not-generated
com/example/migrated/application/B0442CursorForLoopService.java,b0442CursorForLoop @ b04_4_2_cursor_for_loop.prc:7,b04_4_2_cursor_for_loop.prc,7,9,Loop,REVIEW,not-generated
com/example/migrated/application/B0442CursorForLoopService.java,b0442CursorForLoop @ b04_4_2_cursor_for_loop.prc:7,b04_4_2_cursor_for_loop.prc,7,9,SqlOperation,REVIEW,not-generated
com/example/migrated/application/B0442CursorForLoopService.java,b0442CursorForLoop @ b04_4_2_cursor_for_loop.prc:8,b04_4_2_cursor_for_loop.prc,8,8,Call,REVIEW,not-generated
com/example/migrated/application/B0442CursorForLoopService.java,b0442CursorForLoop @ b04_4_2_cursor_for_loop.prc:12,b04_4_2_cursor_for_loop.prc,12,14,Loop,REVIEW,not-generated
com/example/migrated/application/B0442CursorForLoopService.java,b0442CursorForLoop @ b04_4_2_cursor_for_loop.prc:12,b04_4_2_cursor_for_loop.prc,12,14,SqlOperation,REVIEW,not-generated
com/example/migrated/application/B0442CursorForLoopService.java,b0442CursorForLoop @ b04_4_2_cursor_for_loop.prc:13,b04_4_2_cursor_for_loop.prc,13,13,Call,REVIEW,not-generated
com/example/migrated/application/B0443ForUpdateCurrentOfService.java,b0443ForUpdateCurrentOf,b04_4_3_for_update_current_of.prc,2,12,routine,REDESIGN,not-generated
com/example/migrated/application/B0443ForUpdateCurrentOfService.java,b0443ForUpdateCurrentOf @ b04_4_3_for_update_current_of.prc:8,b04_4_3_for_update_current_of.prc,8,10,Loop,REDESIGN,not-generated
com/example/migrated/application/B0443ForUpdateCurrentOfService.java,b0443ForUpdateCurrentOf @ b04_4_3_for_update_current_of.prc:8,b04_4_3_for_update_current_of.prc,8,10,SqlOperation,REDESIGN,not-generated
com/example/migrated/application/B0443ForUpdateCurrentOfService.java,b0443ForUpdateCurrentOf @ b04_4_3_for_update_current_of.prc:9,b04_4_3_for_update_current_of.prc,9,9,SqlOperation,REDESIGN,not-generated
com/example/migrated/application/B0443ForUpdateCurrentOfService.java,b0443ForUpdateCurrentOf @ b04_4_3_for_update_current_of.prc:9,b04_4_3_for_update_current_of.prc,9,9,SqlOperation,REDESIGN,not-generated
